,Accuracy,Precision,Recall,F1-Score,ROC-AUC-Score,Tempo,Evaluation Time
DT,0.9997890464602888,0.9997890468345533,0.9997890464602888,0.9997890464606624,0.9997890484132822,7.286649227142334,2.6446516513824463
RF,0.9998627316403569,0.9998627513271332,0.9998627316403569,0.9998627316370542,0.9998627174256971,77.3523108959198,17.452747106552124
XGB,0.9998740221114963,0.9998740326177786,0.9998740221114963,0.9998740221095261,0.9998740117266071,129.92657852172852,2.521045446395874
KNN,0.9996238490404585,0.9996238841199399,0.9996238490404585,0.9996238490267148,0.9996238300552509,790.6102116107941,5022.655986070633
SVM,0.9982571077972588,0.9982581057300006,0.9982571077972588,0.9982571067476136,0.9982570064063818,11.872452735900879,2.562713384628296
NB,0.9927794465886436,0.9927897202726381,0.9927794465886436,0.9927794113323862,0.9927797733129813,2.223083734512329,3.5216705799102783
NN,0.9990914141909337,0.9990926330046499,0.9990914141909337,0.9990914135344581,0.9990913022646606,192.81938219070435,83.89774584770203
