,Accuracy,Precision,Recall,F1-Score,ROC-AUC-Score,Tempo,Evaluation Time
DT,1.0,1.0,1.0,1.0,1.0,5.899448871612549,0.09632372856140137
RF,1.0,1.0,1.0,1.0,1.0,43.973477840423584,0.2981600761413574
XGB,1.0,1.0,1.0,1.0,1.0,84.81150150299072,0.10245823860168457
KNN,1.0,1.0,1.0,1.0,1.0,1151.9404733181,102.26936316490173
SVM,1.0,1.0,1.0,1.0,1.0,7.425173997879028,0.16971588134765625
NB,0.9999908062039735,0.9999908062889015,0.9999908062039735,0.9999908017665267,0.999031007751938,3.352186679840088,0.14456582069396973
NN,0.9999908062039735,0.9999908239869446,0.9999908062039735,0.9999908106327877,0.9999953811903597,138.14907050132751,5.179708242416382
