,Accuracy,Precision,Recall,F1-Score,ROC-AUC-Score,Tempo,Evaluation Time
DT,1.0,1.0,1.0,1.0,1.0,708.0074667930603,0.36986637115478516
RF,0.9999866538543669,0.9999866519251847,0.9999866538543669,0.99998665188075,0.9995497483149747,9618.430209159851,2.1458704471588135
XGB,1.0,1.0,1.0,1.0,1.0,5559.863495826721,0.32926487922668457
NB,0.9696174994661542,0.9885065565681956,0.9696174994661542,0.9774039795252922,0.8583867315353703,291.5700674057007,0.7833731174468994
NN,0.9998031443519112,0.9998036061327625,0.9998031443519112,0.9998033331439856,0.996500269482632,6139.349794387817,15.749680519104004
