,Accuracy,Precision,Recall,F1-Score,ROC-AUC-Score,Tempo,Evaluation Time
DT,0.9998707208604819,0.999874597224939,0.9998707208604819,0.9998719534994333,0.9934546786926381,218.40744018554688,0.07648086547851562
RF,0.9999741441720964,0.9999741448419366,0.9999741441720964,0.9999740598433889,0.9935064935064934,1163.1448030471802,0.504969596862793
XGB,0.9999612162581446,0.9999619573487533,0.9999612162581446,0.9999614029411907,0.9999805694448043,1141.0958647727966,0.07440495491027832
NB,0.9980091012514221,0.9960221661806712,0.9980091012514221,0.9970146437839827,0.5,46.0113525390625,0.12691688537597656
NN,0.9985132898955424,0.998515501317451,0.9985132898955424,0.9980709113956289,0.6266233766233766,1947.4724769592285,3.86615252494812
