,Accuracy,Precision,Recall,F1-Score,ROC-AUC-Score,Tempo,Evaluation Time
DT,1.0,1.0,1.0,1.0,1.0,4.21184229850769,0.10712385177612305
RF,1.0,1.0,1.0,1.0,1.0,35.3735613822937,0.27864742279052734
XGB,1.0,1.0,1.0,1.0,1.0,54.80329895019531,0.1032257080078125
KNN,0.9999879977915936,0.9999879980776466,0.9999879977915936,0.9999879977905615,0.9999879113174247,291.8877890110016,34.336732149124146
SVM,0.9999879977915936,0.9999879980776466,0.9999879977915936,0.9999879977905615,0.9999879113174247,3.5954678058624268,0.16875481605529785
NB,0.9999879977915936,0.9999879980776466,0.9999879977915936,0.9999879977905615,0.9999879113174247,2.529557466506958,0.13284611701965332
NN,0.9999879977915936,0.9999879980776466,0.9999879977915936,0.9999879977905615,0.9999879113174247,140.49958753585815,3.784937858581543
