,Accuracy,Precision,Recall,F1-Score,ROC-AUC-Score,Tempo,Evaluation Time
DT,1.0,1.0,1.0,1.0,1.0,23.139309883117676,0.3861236572265625
RF,0.9999841145026648,0.9999841150073429,0.9999841145026648,0.9999841145026588,0.9999841143764893,89.06829357147217,1.471708059310913
XGB,1.0,1.0,1.0,1.0,1.0,165.83088636398315,0.3848588466644287
NB,0.9999642576309958,0.9999642601858267,0.9999642576309958,0.9999642576309401,0.9999642573471008,21.4638352394104,0.7073783874511719
NN,0.9979348853464229,0.9979433795928346,0.9979348853464229,0.9979348765054201,0.9979348689436061,584.683108329773,13.219789266586304
