,Accuracy,Precision,Recall,F1-Score,ROC-AUC-Score,Tempo,Evaluation Time
DT,0.9999831338150142,0.9999831343841876,0.9999831338150142,0.9999831338151375,0.99998314140471,15.646326541900635,1.1807482242584229
RF,0.9999831338150142,0.9999831343841876,0.9999831338150142,0.9999831338151375,0.99998314140471,288.1435751914978,4.923609256744385
XGB,0.9999831338150142,0.9999831343841876,0.9999831338150142,0.9999831338151375,0.99998314140471,197.20901250839233,1.1220245361328125
NB,0.9999610780346483,0.9999610783708163,0.9999610780346483,0.9999610780344145,0.9999610721859026,10.614156723022461,1.683474063873291
NN,0.9999935130057748,0.9999935130360954,0.9999935130057748,0.9999935130057861,0.999993514756717,937.543261051178,41.50158953666687
