,Accuracy,Precision,Recall,F1-Score,ROC-AUC-Score,Tempo,Evaluation Time
DT,0.9998662970522957,0.9998662975732964,0.9998662970522957,0.9998662970554087,0.999866320304286,1233.0089449882507,0.843726396560669
RF,0.9999215609373469,0.9999215682977882,0.9999215609373469,0.999921560944034,0.9999216496966229,11831.243336200714,5.136301755905151
XGB,0.9999340398791325,0.9999340421799353,0.9999340398791325,0.9999340398823348,0.9999340894322752,7199.314093589783,0.7961530685424805
NB,0.9413222330174973,0.9464066467092813,0.9413222330174973,0.9411497874026127,0.9412437584170207,371.23186588287354,1.0303382873535156
NN,0.9994277513838256,0.9994278416455965,0.9994277513838256,0.9994277515361832,0.999428061400442,11597.7623462677,30.537856340408325
