,Accuracy,Precision,Recall,F1-Score,ROC-AUC-Score,Tempo,Evaluation Time
DT,0.9999094419546901,0.9999121453596489,0.9999094419546901,0.9999105522650862,0.9616484013406921,384.3584895133972,2.5399701595306396
RF,0.99980609924416,0.9998034437791535,0.99980609924416,0.9997804017455999,0.7862256796501678,2207.880473136902,14.636035442352295
XGB,0.9999568517548817,0.999956433160628,0.9999568517548817,0.9999560341928868,0.9574823652829598,2384.787702560425,2.335021734237671
NB,0.1628308231886127,0.9995029740010773,0.1628308231886127,0.27939485729654406,0.5716525675241836,71.9496488571167,5.482233047485352
NN,0.9995333597194618,0.9991105885147699,0.9995333597194618,0.9993219294029256,0.4999890749056445,2154.8502802848816,106.3317015171051
