,Accuracy,Precision,Recall,F1-Score,ROC-AUC-Score,Tempo,Evaluation Time
DT,0.9999598474201967,0.9999598506401309,0.9999598474201967,0.9999598474179957,0.9999597941460276,59.29802656173706,0.041112661361694336
RF,0.9999598474201967,0.9999598506486745,0.9999598474201967,0.9999598474222684,0.9999599005533724,528.8458704948425,0.20281362533569336
XGB,1.0,1.0,1.0,1.0,1.0,462.50113248825073,0.04297971725463867
NB,0.9107006625175668,0.9221264829607919,0.9107006625175668,0.9100815537343614,0.9105914382045086,33.33427906036377,0.05234384536743164
NN,0.9989560329251155,0.9989578836893165,0.9989560329251155,0.9989560306226025,0.9989547542040639,1076.0862469673157,1.4514248371124268
