,Accuracy,Precision,Recall,F1-Score,ROC-AUC-Score,Tempo,Evaluation Time
DT,0.9998931103187023,0.9998942488964749,0.9998931103187023,0.9998933936021156,0.9999460192430603,3.4095165729522705,0.2629227638244629
RF,0.9999957244127481,0.9999957244312119,0.9999957244127481,0.9999957239569303,0.9997846683893196,7.27672266960144,1.0250794887542725
XGB,0.9998888347314504,0.9998886842904172,0.9998888347314504,0.9998886683431788,0.9956804124047255,11.390248537063599,0.23729610443115234
KNN,0.9998418032716794,0.9998440882595976,0.9998418032716794,0.9998423889675434,0.9997069360993264,57.32150745391846,185.50381064414978
SVM,0.9997391891776336,0.9997449240871658,0.9997391891776336,0.9997407000346755,0.9992287698118583,1.432119369506836,0.2892179489135742
NB,0.9900720864010671,0.9802427362705622,0.9900720864010671,0.9851328933951089,0.5,0.6263494491577148,0.44022035598754883
NN,0.999670779781603,0.999680163200446,0.999670779781603,0.999673233294563,0.9991942221274169,46.25438380241394,12.20557975769043
