,Accuracy,Precision,Recall,F1-Score,ROC-AUC-Score,Tempo,Evaluation Time
DT,0.9999872819651907,0.9999872983438576,0.9999872819651907,0.9999872860216554,0.999993577639911,23.646867275238037,0.17592239379882812
RF,1.0,1.0,1.0,1.0,1.0,66.51945114135742,0.7113871574401855
XGB,0.9999872819651907,0.9999872983438576,0.9999872819651907,0.9999872860216554,0.999993577639911,108.56736898422241,0.1515817642211914
NB,0.9995039966424388,0.9995277463428008,0.9995039966424388,0.9995100175694345,0.9997495279565335,17.632949352264404,0.29061102867126465
NN,0.9996120999383176,0.9996267785386665,0.9996120999383176,0.9996158023606393,0.999804118017289,509.53510999679565,7.670726299285889
