,Accuracy,Precision,Recall,F1-Score,ROC-AUC-Score,Tempo,Evaluation Time
DT,0.9999855372199644,0.9999855373703034,0.9999855372199644,0.9999855372198331,0.9999855281932291,1518.5190677642822,0.5179781913757324
RF,0.9999884297759716,0.9999884298427661,0.9999884297759716,0.9999884297759016,0.9999884237560686,13032.151126861572,2.9999938011169434
XGB,0.9999971074439928,0.9999971074607092,0.9999971074439928,0.9999971074439843,0.9999971044371605,8372.280836105347,0.5141756534576416
NB,0.8748014983440117,0.8997756249136638,0.8748014983440117,0.8727965586942681,0.8746715398479378,319.5289731025696,1.042647361755371
NN,0.9996471081671319,0.9996471723149951,0.9996471081671319,0.9996471080900629,0.9996469215563754,7378.220570087433,17.5984890460968
