,Accuracy,Precision,Recall,F1-Score,ROC-AUC-Score,Tempo,Evaluation Time
DT,0.9999827605526966,0.9999827611482489,0.9999827605526966,0.9999827605532782,0.9999827945148914,67.3341155052185,0.1659400463104248
RF,1.0,1.0,1.0,1.0,1.0,726.3242721557617,0.6960883140563965
XGB,0.9999913802763484,0.9999913804252389,0.9999913802763484,0.9999913802764944,0.9999913972574457,771.4533567428589,0.1497640609741211
NB,1.0,1.0,1.0,1.0,1.0,59.31673049926758,0.26587700843811035
NN,0.9999913802763484,0.9999913804252389,0.9999913802763484,0.9999913802764944,0.9999913972574457,2938.8248085975647,5.833411693572998
