,Accuracy,Precision,Recall,F1-Score,ROC-AUC-Score,Tempo,Evaluation Time
DT,0.9955068696620869,0.9955320409385616,0.9955068696620869,0.995512282551197,0.9958074350733642,80.96893548965454,0.38564491271972656
RF,0.9927259974419276,0.9927220932687149,0.9927259974419276,0.992723451595189,0.9908966581544307,1073.190092086792,5.985918760299683
XGB,0.9965878615340182,0.9966036011526936,0.9965878615340182,0.9965911486903826,0.9968633817652863,2446.7207193374634,0.36138129234313965
KNN,0.9921689978132607,0.9921702708525972,0.9921689978132607,0.9921696050841777,0.9906530519092227,18147.854142189026,5278.859896659851
SVM,0.9518339728514255,0.9525675079241164,0.9518339728514255,0.9520773134877787,0.9472719189039653,513.1117849349976,0.36949753761291504
NB,0.7980896975698313,0.856465201772221,0.7980896975698313,0.8067735225888708,0.8369293768193363,14.840848922729492,0.6114151477813721
NN,0.985555142963238,0.9855548198612878,0.985555142963238,0.9855106650663004,0.9796000038963258,1367.4972376823425,12.027952671051025
