,Accuracy,Precision,Recall,F1-Score,ROC-AUC-Score,Tempo,Evaluation Time
DT,0.9999850781531727,0.9999850783511863,0.9999850781531727,0.9999850781532204,0.999985081441983,123.27718734741211,1.3466832637786865
RF,0.9999950260510576,0.9999950261005538,0.9999950260510576,0.9999950260510657,0.9999950276957348,578.8246631622314,5.749190330505371
XGB,0.9999863216404083,0.999986322014717,0.9999863216404083,0.9999863216404677,0.9999863261632707,579.3081402778625,1.210278034210205
NB,0.99789850657183,0.9979053961209168,0.99789850657183,0.9978984980063781,0.9978978910291239,21.461737155914307,2.4416446685791016
NN,0.9962608338825402,0.9962620891480866,0.9962608338825402,0.9962608325044833,0.9962610962975604,997.7105736732483,44.74011492729187
