,Accuracy,Precision,Recall,F1-Score,ROC-AUC-Score,Tempo,Evaluation Time
DT,0.9999462413152505,0.9999462415364367,0.9999462413152505,0.9999462414192938,0.9999174369604548,3301.1820554733276,2.220661163330078
RF,0.9999673364953421,0.9999673388164158,0.9999673364953421,0.9999673370853243,0.9999667228268503,30217.794859409332,14.029149532318115
XGB,0.9999680169850225,0.9999680174743133,0.9999680169850225,0.9999680171707171,0.999955534953746,24781.771290302277,2.3039867877960205
NB,0.7735541295516254,0.8934326020534947,0.7735541295516254,0.7960421167135372,0.8576669483926831,723.751950263977,3.42488431930542
NN,0.9995474743625513,0.9995477150199082,0.9995474743625513,0.9995475481776769,0.9994519336830734,35071.214747428894,79.173748254776
