,Accuracy,Precision,Recall,F1-Score,ROC-AUC-Score,Tempo,Evaluation Time
DT,0.9999579071431578,0.9999579107176192,0.9999579071431578,0.9999579071585225,0.9999582707394424,2.318782091140747,0.03278183937072754
RF,1.0,1.0,1.0,1.0,1.0,22.32986092567444,0.10793256759643555
XGB,0.9999579071431578,0.9999579107176192,0.9999579071431578,0.9999579071585225,0.9999582707394424,32.72725582122803,0.03636741638183594
KNN,0.9999158142863156,0.9999158285829469,0.9999158142863156,0.9999158143474761,0.999916541478885,249.2038893699646,43.479859352111816
SVM,0.9999579071431578,0.9999579107176192,0.9999579071431578,0.9999579071585225,0.9999582707394424,4.080159425735474,0.06317758560180664
NB,0.9981058214421012,0.9981129086654409,0.9981058214421012,0.9981057833793968,0.9980891719745223,1.072110891342163,0.04261302947998047
NN,0.9999579071431578,0.9999579107176192,0.9999579071431578,0.9999579071585225,0.9999582707394424,62.902854919433594,1.2562651634216309
