,Accuracy,Precision,Recall,F1-Score,ROC-AUC-Score,Tempo,Evaluation Time
DT,1.0,1.0,1.0,1.0,1.0,161.5789294242859,0.15517616271972656
RF,1.0,1.0,1.0,1.0,1.0,1673.1853246688843,0.770977258682251
XGB,1.0,1.0,1.0,1.0,1.0,1666.871166229248,0.16568541526794434
NB,0.8361053361053361,0.8765522299081276,0.8361053361053361,0.8315684236777474,0.8360324966223424,87.4353289604187,0.3429391384124756
NN,1.0,1.0,1.0,1.0,1.0,2725.647985935211,5.521993398666382
