,Accuracy,Precision,Recall,F1-Score,ROC-AUC-Score,Tempo,Evaluation Time
DT,0.9999589870985128,0.9999589871674248,0.9999589870985128,0.9999589870986426,0.9999589902788149,863.8883948326111,0.5225381851196289
RF,0.9999941410140732,0.9999941410140732,0.9999941410140732,0.9999941410140732,0.9999941410123336,9898.099339008331,2.7293410301208496
XGB,0.9999941410140732,0.9999941410140732,0.9999941410140732,0.9999941410140732,0.9999941410123336,6104.6791434288025,0.5037410259246826
NB,0.9962473195139384,0.9962709336982368,0.9962473195139384,0.9962472819492074,0.9962491971733892,152.52872705459595,0.8503859043121338
NN,0.9990567032657988,0.9990584149010896,0.9990567032657988,0.9990567029332436,0.9990572073973434,7355.063736438751,18.167585372924805
