,Accuracy,Precision,Recall,F1-Score,ROC-AUC-Score,Tempo,Evaluation Time
DT,0.9999482883441928,0.9999487552832104,0.9999482883441928,0.9999484447112036,0.9969317864396967,9.891279697418213,0.08270907402038574
RF,0.9999224325162892,0.9999221126679881,0.9999224325162892,0.9999219547095517,0.9847496198701428,81.65533304214478,0.29210734367370605
XGB,0.9999482883441928,0.9999482883441928,0.9999482883441928,0.9999482883441928,0.9938894836427247,179.26327753067017,0.06655573844909668
KNN,0.9998448650325783,0.9998530361766657,0.9998448650325783,0.999847154903639,0.9968799649130347,14.752318382263184,1.038163661956787
SVM,0.9978798221119041,0.9957641393780854,0.9978798221119041,0.9968208581490055,0.5,4.401046514511108,0.12529754638671875
NB,0.9978798221119041,0.9957641393780854,0.9978798221119041,0.9968208581490055,0.5,3.290294885635376,0.11264777183532715
NN,0.9996121625814458,0.99960424669119,0.9996121625814458,0.9995982483447208,0.9207057965537421,425.0367386341095,4.371449947357178
