,Accuracy,Precision,Recall,F1-Score,ROC-AUC-Score,Tempo,Evaluation Time
DT,0.9976859855839562,0.9981709427060161,0.9975298883509535,0.9978503125694942,0.997698968952198,4.713252544403076,0.04994320869445801
RF,0.9984839215894885,0.9977805178791616,0.9994071732042288,0.9985931831083249,0.9984071302494782,37.457905769348145,0.26332998275756836
XGB,0.9991488682607654,0.9989137948059642,0.9995059776701907,0.9992097984986172,0.9991191657293621,89.33922672271729,0.06286215782165527
KNN,0.9957975370375296,0.9955586261350178,0.9966406481572967,0.9960993433071644,0.9957274113733762,273.89923906326294,93.2871425151825
SVM,0.9567784663669974,0.9532109645065485,0.967196917300662,0.9601530124322601,0.9559119129862572,10.326236486434937,0.08817172050476074
NB,0.9009495438465835,0.9198352989019927,0.8939334057899417,0.9066994037179936,0.901533110270367,1.1298162937164307,0.062160491943359375
NN,0.9948134159640397,0.9928701381718051,0.9975298883509535,0.9951945587619212,0.9945874737058713,205.36806344985962,1.7963099479675293
