,Accuracy,Precision,Recall,F1-Score,ROC-AUC-Score,Tempo,Evaluation Time
DT,0.9999907621247113,0.9999907622945782,0.9999907621247113,0.9999907621243054,0.9999907180515334,332.47848749160767,0.326066255569458
RF,1.0,1.0,1.0,1.0,1.0,3005.7381987571716,1.241443395614624
XGB,0.9999953810623556,0.9999953811048228,0.9999953810623556,0.9999953810622543,0.9999953590257668,3054.9341440200806,0.30144548416137695
NB,0.9999630484988453,0.9999630512165669,0.9999630484988453,0.9999630484923112,0.9999628722061334,145.03268003463745,0.5512814521789551
NN,0.9999953810623556,0.9999953811048228,0.9999953810623556,0.9999953810622543,0.9999953590257668,6290.599155426025,11.048631191253662
