,Accuracy,Precision,Recall,F1-Score,ROC-AUC-Score,Tempo,Evaluation Time
DT,0.9999911153757307,0.9999911155336908,0.9999911153757307,0.999991115375775,0.9999911204247989,286.60701513290405,0.14635157585144043
RF,1.0,1.0,1.0,1.0,1.0,1212.3249650001526,0.7398438453674316
XGB,0.9999911153757307,0.9999911155336908,0.9999911153757307,0.999991115375775,0.9999911204247989,1133.3398580551147,0.14116692543029785
NB,0.9999378076301153,0.9999378153605399,0.9999378076301153,0.9999378076276754,0.9999377722464219,62.6238226890564,0.25779080390930176
NN,0.9999733461271922,0.9999733462853263,0.9999733461271922,0.9999733461273249,0.9999733511705151,2852.545428276062,5.6269896030426025
