,Accuracy,Precision,Recall,F1-Score,ROC-AUC-Score,Tempo,Evaluation Time
DT,0.9999743464764885,0.9999744150687975,0.9999743464764885,0.9999743634814042,0.999987049316204,143.74436140060425,0.08178400993347168
RF,1.0,1.0,1.0,1.0,1.0,877.6112675666809,0.4599332809448242
XGB,1.0,1.0,1.0,1.0,1.0,929.3596863746643,0.08581805229187012
NB,0.9571842692593828,0.9916573747577409,0.9571842692593828,0.9714191235876007,0.9551535006705191,119.69882249832153,0.1359865665435791
NN,0.9998075985736641,0.9998106721326937,0.9998075985736641,0.9998084214444751,0.9992391039265639,1954.7398090362549,4.24019455909729
