,Accuracy,Precision,Recall,F1-Score,ROC-AUC-Score,Tempo,Evaluation Time
DT,1.0,1.0,1.0,1.0,1.0,244.93597745895386,0.31481170654296875
RF,0.999986143187067,0.9999861435709974,0.999986143187067,0.9999861431870235,0.9999861402422685,2611.5408658981323,1.326948642730713
XGB,0.999986143187067,0.9999861435709974,0.999986143187067,0.9999861431870235,0.9999861402422685,2028.281044960022,0.29709720611572266
NB,0.9999953810623556,0.9999953811050154,0.9999953810623556,0.9999953810623511,0.9999953800807562,86.98270320892334,0.44588232040405273
NN,0.999986143187067,0.9999861435709974,0.999986143187067,0.9999861431870235,0.9999861402422685,4934.953010082245,9.919302225112915
