,Accuracy,Precision,Recall,F1-Score,ROC-AUC-Score,Tempo,Evaluation Time
DT,1.0,1.0,1.0,1.0,1.0,10.759310722351074,0.29462623596191406
RF,1.0,1.0,1.0,1.0,1.0,215.07277035713196,1.0768287181854248
XGB,1.0,1.0,1.0,1.0,1.0,391.4827790260315,0.2852954864501953
KNN,0.9999953810623556,0.9999907471663196,1.0,0.9999953735617559,0.9999953885599395,3180.979748249054,203.65653800964355
SVM,0.9999076212471132,0.999814975854349,1.0,0.999907479367899,0.99990777119879,16.315672397613525,0.32556653022766113
NB,1.0,1.0,1.0,1.0,1.0,7.674043416976929,0.4332442283630371
NN,0.9999953810623556,0.9999907471663196,1.0,0.9999953735617559,0.9999953885599395,359.0456762313843,11.684144020080566
