,Accuracy,Precision,Recall,F1-Score,ROC-AUC-Score,Tempo,Evaluation Time
DT,1.0,1.0,1.0,1.0,1.0,6.528262615203857,0.16348600387573242
RF,1.0,1.0,1.0,1.0,1.0,79.56549286842346,0.41620326042175293
XGB,1.0,1.0,1.0,1.0,1.0,146.03695440292358,0.15594124794006348
KNN,1.0,1.0,1.0,1.0,1.0,2032.0185482501984,330.90431451797485
SVM,0.999974140829045,0.9999741421664269,0.999974140829045,0.9999741408290566,0.9999741419434915,9.786203622817993,0.2065896987915039
NB,1.0,1.0,1.0,1.0,1.0,5.65652060508728,0.26606249809265137
NN,1.0,1.0,1.0,1.0,1.0,173.77702498435974,5.890159606933594
