,Accuracy,Precision,Recall,F1-Score,ROC-AUC-Score,Tempo,Evaluation Time
DT,0.9999824230422198,0.9999824233174891,0.9999824230422198,0.9999824230425456,0.9999824416719044,46.83621311187744,0.558182954788208
RF,0.9999970705070367,0.9999970705242278,0.9999970705070367,0.9999970705070503,0.9999970751681778,799.067417383194,4.035731554031372
XGB,1.0,1.0,1.0,1.0,1.0,1319.294240474701,0.5046250820159912
KNN,0.9999443396336962,0.9999443417160134,0.9999443396336962,0.9999443396364968,0.9999443908467287,20701.065988779068,3717.936527490616
SVM,0.9992236843647102,0.9992248181231114,0.9992236843647102,0.999223684856114,0.9992248822184748,72.82736229896545,0.5186078548431396
NB,0.9963059093732057,0.9963275112308436,0.9963059093732057,0.9963058886516492,0.9963111521451941,16.621723651885986,0.8144011497497559
NN,0.9997861470136749,0.9997861545377887,0.9997861470136749,0.9997861469918993,0.9997860484303445,424.2830276489258,18.516401767730713
