,Accuracy,Precision,Recall,F1-Score,ROC-AUC-Score,Tempo,Evaluation Time
DT,0.9999913802763484,0.9999913804250565,0.9999913802763484,0.9999913802764034,0.9999913867355729,264.1658902168274,0.15867972373962402
RF,1.0,1.0,1.0,1.0,1.0,964.463996887207,0.7183094024658203
XGB,1.0,1.0,1.0,1.0,1.0,1201.7846703529358,0.16279244422912598
NB,0.9032005033918613,0.918911028255784,0.9032005033918613,0.9022921248638721,0.9032730404823428,90.75798988342285,0.3305473327636719
NN,0.9999913802763484,0.9999913804250565,0.9999913802763484,0.9999913802764034,0.9999913867355729,2720.133149623871,6.100971460342407
