,Accuracy,Precision,Recall,F1-Score,ROC-AUC-Score,Tempo,Evaluation Time
DT,0.999930050808549,0.9999300557496692,0.999930050808549,0.9999299271751442,0.9964424320827943,27.287185192108154,0.22904014587402344
RF,0.999930050808549,0.9999300557496692,0.999930050808549,0.9999299271751442,0.9964424320827943,74.54856634140015,0.7315421104431152
XGB,0.999930050808549,0.9999300557496692,0.999930050808549,0.9999299271751442,0.9964424320827943,234.98495817184448,0.19039463996887207
NB,0.9999809229477861,0.9999809311280429,0.9999809229477861,0.9999809260010647,0.9996701625809375,23.84159564971924,0.41063737869262695
NN,0.9898700852744234,0.9804316573256519,0.9898700852744234,0.9851282646301509,0.4998490793842439,538.3881688117981,8.82361388206482
