,Accuracy,Precision,Recall,F1-Score,ROC-AUC-Score,Tempo,Evaluation Time
DT,1.0,1.0,1.0,1.0,1.0,4.554133176803589,0.05094099044799805
RF,1.0,1.0,1.0,1.0,1.0,19.433334827423096,0.14987969398498535
XGB,1.0,1.0,1.0,1.0,1.0,35.875062227249146,0.05656838417053223
KNN,1.0,1.0,1.0,1.0,1.0,7.8881261348724365,1.3208768367767334
SVM,0.9908811690417597,0.9818454911615643,0.9908811690417597,0.9863426370486401,0.5,4.204256057739258,0.09159016609191895
NB,0.9995803048512943,0.9995987714378375,0.9995803048512943,0.9995849808982065,0.9997882212510348,1.5370206832885742,0.07742810249328613
NN,1.0,1.0,1.0,1.0,1.0,141.04921555519104,33.17314171791077
