,Accuracy,Precision,Recall,F1-Score,ROC-AUC-Score,Tempo,Evaluation Time
DT,0.9999579071431578,0.9999579106776995,0.9999579071431578,0.9999579071386829,0.9999578023461895,88.11476230621338,0.17833232879638672
RF,1.0,1.0,1.0,1.0,1.0,352.5765538215637,0.19128847122192383
XGB,0.9999158142863156,0.9999158284232952,0.9999158142863156,0.9999158142681177,0.9999156046923792,342.60735511779785,0.04814338684082031
NB,0.9979795428715746,0.9979876946696888,0.9979795428715746,0.9979795447617429,0.9979845482028888,25.067484378814697,0.0457911491394043
NN,0.9999579071431578,0.9999579106776995,0.9999579071431578,0.9999579071386829,0.9999578023461895,866.1455988883972,1.5093882083892822
