,Accuracy,Precision,Recall,F1-Score,ROC-AUC-Score,Tempo,Evaluation Time
DT,0.8607469503513787,0.8615770914664873,0.8607469503513787,0.8606695525519488,0.8607624055636705,494.3683862686157,0.13902521133422852
RF,0.8844835244940032,0.8856709509035441,0.8844835244940032,0.8843921459203623,0.8844654329390771,3178.7832856178284,2.815459728240967
XGB,0.9252707951296741,0.9336079478697769,0.9252707951296741,0.92490620663597,0.9252257378088101,2524.342918395996,0.12929439544677734
NB,0.5670125402918095,0.5684455723788687,0.5670125402918095,0.5648182931995716,0.5670586702769279,53.967487812042236,0.20337867736816406
NN,0.8439012722530382,0.8590887855715272,0.8439012722530382,0.8422204708995685,0.8438344108829791,2093.273973464966,4.598418235778809
