,Accuracy,Precision,Recall,F1-Score,ROC-AUC-Score,Tempo,Evaluation Time
DT,1.0,1.0,1.0,1.0,1.0,10.068150520324709,0.3729124069213867
RF,0.9999961078135644,0.9999922269724058,1.0,0.9999961134710978,0.9999961021547288,243.92496538162231,1.00089693069458
XGB,0.9999961078135644,0.9999922269724058,1.0,0.9999961134710978,0.9999961021547288,359.9928412437439,0.3545303344726562
KNN,0.9999922156271286,0.9999844540656504,1.0,0.999992226972406,0.9999922043094578,2750.7243349552155,673.8194389343262
SVM,1.0,1.0,1.0,1.0,1.0,15.405833721160889,0.4270355701446533
NB,1.0,1.0,1.0,1.0,1.0,8.264838933944702,0.5292255878448486
NN,1.0,1.0,1.0,1.0,1.0,374.2930588722229,12.891966819763184
