,Accuracy,Precision,Recall,F1-Score,ROC-AUC-Score,Tempo,Evaluation Time
DT,0.9999475875724311,0.9999475909031391,0.9999475875724311,0.9999475875760644,0.9999476583964726,334.9665403366089,0.2752246856689453
RF,0.9999534111754943,0.9999534155085827,0.9999534111754943,0.9999534111716136,0.9999533299108601,4503.776943683624,1.7413415908813477
XGB,0.9999825291908103,0.9999825292582827,0.9999825291908103,0.9999825291906327,0.999982518997417,3480.608892440796,0.23223114013671875
NB,0.8125731590134816,0.8630418184822377,0.8125731590134816,0.8059000424836318,0.8128970234052432,124.39333200454712,0.5646545886993408
NN,0.9997379378621554,0.999737943305586,0.9997379378621554,0.9997379378375187,0.9997378458037869,3978.794515132904,8.919421434402466
