,Accuracy,Precision,Recall,F1-Score,ROC-AUC-Score,Tempo,Evaluation Time
DT,1.0,1.0,1.0,1.0,1.0,24.457430839538574,0.3781466484069824
RF,1.0,1.0,1.0,1.0,1.0,73.16751480102539,1.4204280376434326
XGB,0.9999759953911151,0.999975996543235,0.9999759953911151,0.9999759953909675,0.9999759898196836,142.22604036331177,0.3482992649078369
NB,1.0,1.0,1.0,1.0,1.0,17.80991554260254,0.5297243595123291
NN,0.999991998463705,0.9999919985917224,0.999991998463705,0.9999919984636897,0.9999919966065612,583.7939381599426,14.626427173614502
